name,team,playerImageUrl,battingStyle,bowlingStyle,playingRole
Mohammad Rizwan †,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320458.1.png",Right hand Bat,Right arm Medium,Wicketkeeper Batter
Babar Azam (c),Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320448.1.png",Right hand Bat,Right arm Offbreak,Batter
Mohammad Haris,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389700/389743.5.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shan Masood,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/302800/302826.2.png",Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382000/382033.4.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320467.1.png",Right hand Bat,Legbreak,Allrounder
Mohammad Nawaz,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322217.1.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammad Wasim,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322154.1.png",Right hand Bat,Right arm Fast medium,Bowler
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322250.1.png",Left hand Bat,Left arm Fast,Bowler
Haris Rauf,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322202.1.png",Right hand Bat,Right arm Fast,Bowler
Jos Buttler (c)†,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383143.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Alex Hales,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316604.1.png",Right hand Bat,Right arm Medium,Opening Batter
Phil Salt,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383141.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ben Stokes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319748.1.png",Left hand Bat,Right arm Fast medium,Allrounder
Harry Brook,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383145.1.png",Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383142.1.png",Left hand Bat,Right arm Offbreak,Batting Allrounder
Liam Livingstone,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383152.1.png",Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Chris Woakes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316603.1.png",Right hand Bat,Right arm Fast medium,Allrounder
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383153.1.png",Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383151.1.png",Right hand Bat,Legbreak,Bowler
Chris Jordan,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383144.1.png",Right hand Bat,Right arm Fast medium,Bowler
Naseem Shah,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322223.2.png",Right hand Bat,Right arm Fast,Bowler
KL Rahul,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.3.png",Right hand Bat,N/A,Wicketkeeper Batter
Rohit Sharma (c),India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385819.2.png",Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.3.png",Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331163.1.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Hardik Pandya,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388300/388343.5.png",Right hand Bat,Right arm Medium fast,Allrounder
Rishabh Pant †,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323036.1.png",Left hand Bat,N/A,Wicketkeeper Batter
Ravichandran Ashwin,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393300/393315.2.png",Right hand Bat,Right arm Offbreak,Bowling Allrounder
Bhuvneshwar Kumar,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392400/392400.2.png",Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390798.5.png",Left hand Bat,Left arm Medium fast,Bowler
Axar Patel,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331164.2.png",Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammed Shami,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390300/390351.5.png",Right hand Bat,Right arm Fast,Bowler
Finn Allen,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383164.1.png",Right hand Bat,N/A,Top order Batter
Devon Conway †,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383148.1.png",Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson (c),New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383172.1.png",Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383167.1.png",Right hand Bat,Right arm Offbreak,Allrounder
Daryl Mitchell,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383147.2.png",Right hand Bat,Right arm Medium,Batting Allrounder
James Neesham,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383171.1.png",Left hand Bat,Right arm Medium fast,Batting Allrounder
Trent Boult,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png",Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383184.1.png",Right hand Bat,Right arm Medium fast,Bowler
