name,team,battingStyle,bowlingStyle,playingRole
Mohammad Rizwan †,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Babar Azam (c),Pakistan,Right hand Bat,Right arm Offbreak,Batter
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Bowler
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler
Jos Buttler (c)†,England,Right hand Bat,N/A,Wicketkeeper Batter
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,England,Right hand Bat,Legbreak,Bowler
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler
KL Rahul,India,Right hand Bat,N/A,Wicketkeeper Batter
Rohit Sharma (c),India,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Rishabh Pant †,India,Left hand Bat,N/A,Wicketkeeper Batter
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
Finn Allen,New Zealand,Right hand Bat,N/A,Top order Batter
Devon Conway †,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson (c),New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Craig Ervine (c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Regis Chakabva †,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Allrounder
Sikandar Raza,Zimbabwe,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Allrounder
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder
Shakib Al Hasan (c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Nurul Hasan †,Bangladesh,Right hand Bat,N/A,Wicketkeeper Batter
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Scott Edwards (c)†,Netherlands,Right hand Bat,N/A,Wicketkeeper Batter
Quinton de Kock †,South Africa,Left hand Bat,N/A,Wicketkeeper Batter
Temba Bavuma (c),South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Allrounder
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Pathum Nissanka,Sri Lanka,Right hand Bat,N/A,Top order Batter
Kusal Mendis †,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka (c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Top order Batter
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Matthew Wade (c)†,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
Rahmanullah Gurbaz †,Afghanistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter
