match,battingTeam,battingPos,batsmanName,batsmanNameUrl,dismissal,runs,balls,4s,6s,SR
Pakistan Vs England,Pakistan,1,Mohammad Rizwan †,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,b Curran,15,14,0,1,107.14
Pakistan Vs England,Pakistan,2,Babar Azam (c),https://www.espncricinfo.com/cricketers/babar-azam-348144,c & b Rashid,32,28,2,0,114.28
Pakistan Vs England,Pakistan,3,Mohammad Haris,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559,c Stokes b Rashid,8,12,1,0,66.66
Pakistan Vs England,Pakistan,4,Shan Masood,https://www.espncricinfo.com/cricketers/shan-masood-233901,c Livingstone b Curran,38,28,2,1,135.71
Pakistan Vs England,Pakistan,5,Iftikhar Ahmed,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,c †Buttler b Stokes,0,6,0,0,0.00
Pakistan Vs England,Pakistan,6,Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,c Woakes b Jordan,20,14,2,0,142.85
Pakistan Vs England,Pakistan,7,Mohammad Nawaz,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,c Livingstone b Curran,5,7,0,0,71.42
Pakistan Vs England,Pakistan,8,Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,c Livingstone b Jordan,4,8,0,0,50.00
Pakistan Vs England,Pakistan,9,Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,not out,5,3,1,0,166.66
Pakistan Vs England,Pakistan,10,Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,not out,1,1,0,0,100.00
Pakistan Vs England,England,1,Jos Buttler (c)†,https://www.espncricinfo.com/cricketers/jos-buttler-308967,c †Mohammad Rizwan b Haris Rauf,26,17,3,1,152.94
Pakistan Vs England,England,2,Alex Hales,https://www.espncricinfo.com/cricketers/alex-hales-249866,b Shaheen Shah Afridi,1,2,0,0,50.00
Pakistan Vs England,England,3,Phil Salt,https://www.espncricinfo.com/cricketers/phil-salt-669365,c Iftikhar Ahmed b Haris Rauf,10,9,2,0,111.11
Pakistan Vs England,England,4,Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,not out,52,49,5,1,106.12
Pakistan Vs England,England,5,Harry Brook,https://www.espncricinfo.com/cricketers/harry-brook-911707,c Shaheen Shah Afridi b Shadab Khan,20,23,1,0,86.95
Pakistan Vs England,England,6,Moeen Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,b Mohammad Wasim,19,13,3,0,146.15
Pakistan Vs England,England,7,Liam Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,not out,1,1,0,0,100.00
India Vs England,India,1,KL Rahul,https://www.espncricinfo.com/cricketers/kl-rahul-422108,c †Buttler b Woakes,5,5,1,0,100.00
