match,bowlingTeam,bowlerName,bowlerNameUrl,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb
England Vs Pakistan,England,Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,4,0,32,1,8.00,6,1,0,2,1
England Vs Pakistan,England,Chris Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,3,0,26,0,8.66,7,2,1,2,0
England Vs Pakistan,England,Sam Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,4,0,12,3,3.00,15,0,0,0,0
England Vs Pakistan,England,Adil Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,4,1,22,2,5.50,10,1,0,1,0
England Vs Pakistan,England,Chris Jordan,https://www.espncricinfo.com/cricketers/chris-jordan-288992,4,0,27,2,6.75,9,3,0,0,0
England Vs Pakistan,England,Liam Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,1,0,16,0,16.00,1,1,1,1,0
England Vs Pakistan,Pakistan,Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,2.1,0,13,1,6.00,6,1,0,0,0
England Vs Pakistan,Pakistan,Naseem Shah,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,4,0,30,0,7.50,15,3,1,1,0
England Vs Pakistan,Pakistan,Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,4,0,23,2,5.75,13,3,0,1,0
England Vs Pakistan,Pakistan,Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,4,0,20,1,5.00,10,1,0,0,0
England Vs Pakistan,Pakistan,Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,4,0,38,1,9.50,5,5,0,2,0
England Vs Pakistan,Pakistan,Iftikhar Ahmed,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,0.5,0,13,0,15.60,0,1,1,0,0
England Vs India,England,Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,2,0,18,0,9.00,5,2,1,0,0
England Vs India,England,Chris Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,3,0,24,1,8.00,5,1,1,2,0
England Vs India,England,Sam Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,4,0,42,0,10.50,9,5,2,0,0
England Vs India,England,Adil Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,4,0,20,1,5.00,8,1,0,0,0
England Vs India,England,Liam Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,3,0,21,0,7.00,7,3,0,0,0
England Vs India,England,Chris Jordan,https://www.espncricinfo.com/cricketers/chris-jordan-288992,4,0,43,3,10.75,8,3,3,1,0
England Vs India,India,Bhuvneshwar Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,2,0,25,0,12.50,4,3,1,1,0
England Vs India,India,Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,2,0,15,0,7.50,4,2,0,1,0
England Vs India,India,Axar Patel,https://www.espncricinfo.com/cricketers/axar-patel-554691,4,0,30,0,7.50,10,2,2,0,0
England Vs India,India,Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,3,0,39,0,13.00,7,4,3,0,0
England Vs India,India,Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,2,0,27,0,13.50,1,1,2,1,0
England Vs India,India,Hardik Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,3,0,34,0,11.33,5,1,2,0,0
New Zealand Vs Pakistan,New Zealand,Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,4,0,24,2,6.00,11,2,0,0,0
New Zealand Vs Pakistan,New Zealand,Naseem Shah,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,4,0,30,0,7.50,8,3,0,0,0
New Zealand Vs Pakistan,New Zealand,Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,4,0,32,0,8.00,6,2,0,0,0
New Zealand Vs Pakistan,New Zealand,Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,2,0,15,0,7.50,3,0,1,0,0
New Zealand Vs Pakistan,New Zealand,Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,4,0,33,0,8.25,7,3,1,0,0
New Zealand Vs Pakistan,New Zealand,Mohammad Nawaz,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,2,0,12,1,6.00,2,0,0,0,0
New Zealand Vs Pakistan,Pakistan,Trent Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,4,0,33,2,8.25,9,5,0,0,0
New Zealand Vs Pakistan,Pakistan,Tim Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,3.1,0,24,0,7.57,7,3,0,2,0
New Zealand Vs Pakistan,Pakistan,Lockie Ferguson,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,4,0,37,0,9.25,7,4,1,1,0
New Zealand Vs Pakistan,Pakistan,Mitchell Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,4,0,26,1,6.50,6,1,0,0,0
New Zealand Vs Pakistan,Pakistan,Ish Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,4,0,26,0,6.50,4,1,0,0,0
India Vs Zimbabwe,India,Richard Ngarava,https://www.espncricinfo.com/cricketers/richard-ngarava-806241,4,1,44,1,11.00,12,2,4,1,1
India Vs Zimbabwe,India,Tendai Chatara,https://www.espncricinfo.com/cricketers/tendai-chatara-425639,4,0,34,0,8.50,5,3,1,0,0
India Vs Zimbabwe,India,Blessing Muzarabani,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,4,0,50,1,12.50,5,8,0,1,0
India Vs Zimbabwe,India,Wellington Masakadza,https://www.espncricinfo.com/cricketers/wellington-masakadza-571703,2,0,12,0,6.00,5,1,0,1,0
India Vs Zimbabwe,India,Ryan Burl,https://www.espncricinfo.com/cricketers/ryan-burl-495964,1,0,14,0,14.00,1,1,1,0,0
India Vs Zimbabwe,India,Sikandar Raza,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,3,0,18,1,6.00,5,0,1,0,0
India Vs Zimbabwe,India,Sean Williams,https://www.espncricinfo.com/cricketers/sean-williams-55870,2,0,9,2,4.50,6,0,0,2,0
India Vs Zimbabwe,Zimbabwe,Bhuvneshwar Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,3,1,11,1,3.66,14,1,0,1,0
India Vs Zimbabwe,Zimbabwe,Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,2,0,9,1,4.50,9,1,0,2,0
India Vs Zimbabwe,Zimbabwe,Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,2,0,14,2,7.00,7,1,1,0,0
India Vs Zimbabwe,Zimbabwe,Hardik Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,3,0,16,2,5.33,10,1,0,2,1
India Vs Zimbabwe,Zimbabwe,Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,4,0,22,3,5.50,13,3,0,1,0
